前置←,英語*,→後置,日本語*,誤記・旧称,場面・用法*,種別*,備考
,multichannel,,マルチチャンネル,複数チャンネル,-,日本語遣い,ステレオもある意味複数チャンネルだと気付いた
,off,,×,Off、オフ,アクションリスト,記法,
,offline,,オフラインな,,形容詞,同語別訳,
,offline,,オフライン化,,動詞,同語別訳,
,on,,◯,On、オン、○,アクションリスト,記法,一般的な丸記号でなく「大きな丸」を採用
,online,,オンラインな,,形容詞,同語別訳,
,online,,オンライン化,,動詞,同語別訳,
,peak,,ピーク,波形,音声アイテムの波形,曖昧語,waveformとの使い分けが不明なので原文に倣う
,pitch,,ピッチ,音程,音声アイテム（テイク）のピッチシフト,同語別訳,
,pitch,bend,ピッチベンド,ピッチ,MIDIイベント,同語別訳,
,pitch,,音高,ピッチ,MIDIノート,同語別訳,主に「ノートに色を着ける」で使用
,preference,,環境設定,設定,REAPERそのものの設定,旧称改名,各機能独自の細かいsettingは普通に「設定」
,preserve,"pitch, formant",（何々を）維持,保持,動作のオプションに過ぎない場合,同語別訳,正直曖昧ではある
,preserve,"aspect ratio, transparency",（何々を）保つ,保持、維持,映像表示関連,同語別訳,「保持」でも「維持」でもない訳例は他にもある
,preserve,effect configuration,（何々を）保持,維持,対象データがプロジェクト内等に残る場合,同語別訳,正直曖昧ではある
,quantize,,クオンタイズ,クォンタイズ,-,日本語遣い,「オ」は大きく
,read,,読み取り,読み込み,-,曖昧語,「読み込み」はload
,redo,,やり直し,やり直す,-,一般,Microsoftの記法に準拠
,reverse,,逆再生,逆転、（時間）反転,音声アイテム、音声テイク,同語別訳,他の場面ではまだ不統一
time,selection,,,,,,※検討中
,sinc,,sinc補間,sinc関数、sinc,サンプリング関連,一般,
,stretch marker,,伸縮マーカー,ストレッチマーカー,そういう機能名,旧称改名,
,tail,,余韻,余らせ、テイル,機能名など概念的な場合,同語別訳,
,tail,,余韻部,余らせ、テイル,処理対象など具体的な場合,同語別訳,
,time,,実時間,時間,時間基準,同語別訳,
,transport,,再生コントローラ,トランスポート,メイン画面中央にある再生関連機能,旧称改名,テープ録音機からの名残り用語らしいけどごめんな…
,trim,volume,トリミング音量,トリム、トリム音量,エンベロープ名,同語別訳,
,trim,,,,,同語別訳,※検討中
,trim/read,,Trim/Read,トリム/リード,オートメーションモード,同語別訳,各モードは翻訳もカナ化もしないが、頭を必ず大文字化する
,undo,,元に戻す,アンドゥ,-,一般,
,undo history,,操作履歴,アンドゥ履歴,-,一般,undo自体の訳との統一のため
,unload,,クリア,アンロード,-,曖昧語,loadが「ロード」ではないため
,virtual keyboard,,仮想MIDI鍵盤,バーチャルキーボード,そういう機能名,旧称改名,文字キーボードとの明示的区別のため
,volume,,音量,ボリューム,-,一般,
,waveform,,波形,ピーク,音声アイテムの波形,曖昧語,peakとの使い分けが不明なので原文に倣う
,width,,パン幅,パンの幅,トラックのパンの広がり,旧称改名,pan widthと書かれることは無いらしい
,window,,ウィンドウ,ウインドウ、ウィンドゥ,-,日本語遣い,「ィ」は小さく、「ウ」は大きく
